"","player","nationality","position","squad","age","value","height","foot","games","minutes","goals","assists","pens_made","cards_yellow","cards_red","passes.pct","clean.sheets","popularity","p2","p1","p0","rank"
"136","Musa Barrow","gm GAM","FW","Atalanta",20,11000000,184,"0",7,190,0,2,0,0,0,82.7,0,10.42,0,0,1,1
"138","Mattia Caldara","it ITA","DF","Atalanta",25,11000000,187,"0",14,959,0,1,0,1,0,89.9,0,2.63,0,0,0,1
"139","Timothy Castagne","be BEL","DF","Atalanta",23,16000000,180,"0",27,1769,1,2,0,4,0,84,0,3.7,0,0,0,1
"142","Berat Djimsiti","al ALB","DF","Atalanta",26,12000000,190,"0",34,2783,2,1,0,5,0,87.9,0,9.68,0,0,0,1
"143","Remo Freuler","ch SUI","MF","Atalanta",27,20000000,180,"0",31,2337,2,2,0,3,0,87.9,0,1.54,1,0,0,1
"144","Pierluigi Gollini","it ITA","GK","Atalanta",24,13000000,194,"0",33,2884,0,0,0,3,0,74.9,8,5.15,0,1,0,1
"145","Papu GĂłmez","ar ARG","MF","Atalanta",31,15000000,165,"0",36,2842,7,16,0,2,0,79.4,0,6.35,1,0,0,1
"146","Robin Gosens","de GER","DF","Atalanta",25,20000000,183,"0",34,2617,9,7,0,3,0,78.4,0,1.37,0,0,0,1
"147","Hans Hateboer","nl NED","DF","Atalanta",25,12000000,185,"0",32,2356,0,4,0,10,0,84.8,0,6.93,0,0,0,1
"148","Josip Ilicic","si SVN","FW","Atalanta",31,15000000,190,"0",26,1663,15,5,0,1,1,80.2,0,4.93,0,0,1,1
"151","Ruslan Malinovskyi","ua UKR","MF","Atalanta",26,11000000,181,"0",34,1535,8,3,0,7,1,79.6,0,1.88,1,0,0,1
"153","Luis Muriel","co COL","FW","Atalanta",28,15000000,179,"0",34,1260,18,1,6,1,0,71.9,0,13.8,0,0,1,1
"154","Mario PaĹˇaliÄ‡","hr CRO","MF","Atalanta",24,25000000,188,"0",35,2417,9,5,0,6,0,88.4,0,5.63,1,0,0,1
"156","Marten de Roon","nl NED","MF","Atalanta",28,19000000,185,"0",35,2721,2,5,0,12,0,87,0,4.8,1,0,0,1
"161","Rafael TolĂłi","br BRA","DF","Atalanta",28,12000000,185,"0",33,2608,2,6,0,11,0,82.4,0,2.78,0,0,0,1
"162","Amad TraorĂ©","ci CIV","FW","Atalanta",17,12000000,173,"0",3,27,1,0,0,0,0,63.2,0,11,0,0,1,1
"163","DuvĂˇn Zapata","co COL","FW","Atalanta",28,36000000,189,"0",28,2026,18,6,1,1,0,76.2,0,11.8,0,0,1,1
"333","NicolĂˇs DomĂ­nguez","ar ARG","MF","Bologna",21,15000000,179,"0",16,699,0,1,0,1,0,84.5,0,25.01,1,0,0,3
"342","Riccardo Orsolini","it ITA","FW","Bologna",22,20000000,183,"0",37,2681,8,6,0,3,0,62,0,25,0,0,1,3
"354","Takehiro Tomiyasu","jp JPN","DF","Bologna",20,13000000,188,"0",29,2528,1,3,0,8,0,83.2,0,1.93,0,0,0,3
"434","Sandro Tonali","it ITA","MF","Brescia",19,31000000,181,"0",35,3014,1,7,0,9,0,71.9,0,10,1,0,0,3
"514","Alessio Cragno","it ITA","GK","Cagliari",25,16000000,184,"0",16,1440,0,0,0,1,0,64.2,3,12.53,0,1,0,3
"524","Radja Nainggolan","be BEL","MF","Cagliari",31,16000000,176,"0",26,2071,6,7,0,5,0,77.1,0,6.8,1,0,0,3
"525","Nahitan NĂˇndez","uy URU","MF","Cagliari",23,21000000,172,"0",35,2898,2,3,0,14,0,76.2,0,6.13,1,0,0,3
"530","JoĂŁo Pedro","br BRA","FW","Cagliari",27,14000000,184,"0",36,3151,18,4,4,6,0,71.4,0,3.41,0,0,1,3
"531","Luca Pellegrini","it ITA","DF","Cagliari",20,13000000,178,"0",24,1908,0,5,0,10,0,72.6,0,3.53,0,0,0,3
"537","Marko Rog","hr CRO","MF","Cagliari",24,13000000,180,"0",30,2317,1,1,0,10,0,85.5,0,9.48,1,0,0,3
"538","Giovanni Simeone","ar ARG","FW","Cagliari",24,13000000,181,"0",37,2924,12,3,0,4,0,70.6,0,4.2,0,0,1,3
"810","Marco Benassi","it ITA","MF","Fiorentina",24,11000000,184,"0",18,980,1,1,0,1,0,76.6,0,9.98,1,0,0,2
"814","Gaetano Castrovilli","it ITA","MF","Fiorentina",22,20000000,187,"0",33,2673,3,2,0,10,0,80.8,0,28.2,1,0,0,2
"816","Federico Chiesa","it ITA","FW","Fiorentina",21,48000000,180,"0",34,2637,11,6,1,7,0,73.1,0,1.35,0,0,1,2
"818","Patrick Cutrone","it ITA","FW","Fiorentina",21,15000000,183,"0",19,838,4,1,0,1,0,67.9,0,8.7,0,0,1,2
"819","Bartłomiej Drągowski","pl POL","GK","Fiorentina",21,15000000,191,"0",31,2790,0,0,0,1,0,71.6,0,2.18,0,1,0,2
"820","Alfred Duncan","gh GHA","MF","Fiorentina",26,13000000,178,"0",13,887,1,1,0,2,0,84.4,0,13.13,1,0,0,2
"825","Christian KouamĂ©","ci CIV","FW","Fiorentina",21,17000000,185,"0",7,301,1,1,0,0,0,72.1,0,20.7,0,0,1,2
"827","Nikola MilenkoviÄ‡","rs SRB","DF","Fiorentina",21,24000000,195,"0",37,3258,5,0,0,9,0,88.6,0,8.05,0,0,0,2
"829","Pedro","br BRA","FW","Fiorentina",22,12000000,185,"0",4,63,0,0,0,0,0,78.2,0,14.43,0,0,1,2
"830","GermĂˇn Pezzella","ar ARG","DF","Fiorentina",28,14000000,187,"0",33,2830,3,1,0,12,0,86,0,7.35,0,0,0,2
"831","Erick Pulgar","cl CHI","MF","Fiorentina",25,12000000,187,"0",37,2950,7,6,7,9,0,81.1,0,2.58,1,0,0,2
"837","DuĹˇan VlahoviÄ‡","rs SRB","FW","Fiorentina",19,16000000,190,"0",30,1499,6,0,1,4,1,68.8,0,1.15,0,0,1,2
"884","Andrea Pinamonti","it ITA","FW","Genoa",20,13000000,185,"0",32,2236,5,1,1,1,0,70.5,0,10.28,0,0,1,3
"887","Cristian Romero","ar ARG","DF","Genoa",21,13000000,185,"0",30,2577,1,1,1,15,1,87.9,0,7.48,0,0,0,3
"951","Sofyan Amrabat","ma MAR","MF","Hellas Verona",22,14000000,185,"0",34,2919,1,1,1,10,2,87.7,0,2.39,1,0,0,2
"964","Marash Kumbulla","al ALB","DF","Hellas Verona",19,22000000,191,"0",25,1950,1,0,0,7,1,83.8,0,6.85,0,0,0,2
"971","Eddy Salcedo","it ITA","FW","Hellas Verona",17,10000000,178,"0",17,680,1,0,0,0,0,62.4,0,11.95,0,0,1,2
"1043","NicolĂ˛ Barella","it ITA","MF","Inter",22,36000000,172,"0",27,2013,1,4,0,11,0,82.1,0,3.85,1,0,0,1
"1044","Alessandro Bastoni","it ITA","DF","Inter",20,31000000,190,"0",25,1921,2,0,0,9,1,88,0,10.34,0,0,0,1
